TEAMID,#TEAMMEMBERS,#MEN,#WOMEN,BlauIndex,GENDER,USERID,PRSMin,PRSMax,PRSMean,PRSStd,PRLTMin,PRLTMax,PRLTMean,PRLTStd
T01,4,3,1,0.375,M,M_01_01,0,709,23.4561,47.1842,0.0000,14.0000,0.7699,1.5584
T01,4,3,1,0.375,M,M_01_03,0,1123,22.6726,48.7634,0.0000,6.0000,0.2735,0.7946
T01,4,3,1,0.375,M,M_01_04,0,597,17.8961,35.3668,0.0000,5.0000,0.6231,0.9825
T01,4,3,1,0.375,W,W_01_02,0,341,20.7394,40.7188,0.0000,3.0000,0.6364,0.9021
T02,55,48,7,0.2221487603,M,M_02_01,0,118,20,28.327912,0,9,1.833333,3.600926
T02,55,48,7,0.2221487603,M,M_02_02,0,18016,41.955111,392.947794,0,13,1.111111,2.105973
T02,55,48,7,0.2221487603,M,M_02_04,2,154,25.586207,43.063818,0,3,1.666667,1.36626
T02,55,48,7,0.2221487603,M,M_02_05,2,143,20.4375,36.032188,1,7,3.333333,2.875181
T02,55,48,7,0.2221487603,M,M_02_06,0,228,11.401163,22.939702,0,21,3,7.348469
T02,55,48,7,0.2221487603,M,M_02_07,1,4,2,1.414214,0,1,0.5,0.707107
T02,55,48,7,0.2221487603,M,M_02_08,0,258,14.264368,31.316196,0,27,1.355932,4.536301
T02,55,48,7,0.2221487603,M,M_02_09,0,2675,51.047423,208.599912,0,5,0.583333,1.195649
T02,55,48,7,0.2221487603,M,M_02_10,0,1908,39.906072,161.47551,0,14,0.371212,1.497299
T02,55,48,7,0.2221487603,M,M_02_11,1,44,7.054054,9.922842,0,3,0.416667,0.880547
T02,55,48,7,0.2221487603,M,M_02_12,0,15360,129.093432,1124.785145,0,20,1.44898,3.154557
T02,55,48,7,0.2221487603,M,M_02_13,0,1902,65.166667,256.933012,0,21,7.25,8.144528
T02,55,48,7,0.2221487603,M,M_02_14,0,11245,75.455197,736.440478,0,8,0.360656,1.16467
T02,55,48,7,0.2221487603,M,M_02_16,1,283,15.6,51.187989,0,13,1.444444,3.868762
T02,55,48,7,0.2221487603,M,M_02_17,0,2510,37.347126,130.142337,0,14,2.2,3.039811
T02,55,48,7,0.2221487603,M,M_02_18,0,51,37.142857,17.571205,24,24,24,0
T02,55,48,7,0.2221487603,M,M_02_19,1,16,4.1,4.411707,0,6,2.333333,3.21455
T02,55,48,7,0.2221487603,M,M_02_20,2,120,21.377778,29.940982,0,5,1.75,2.052873
T02,55,48,7,0.2221487603,M,M_02_21,0,34330,598.537383,4149.935099,0,13,1.645161,3.057358
T02,55,48,7,0.2221487603,M,M_02_22,0,668,32.300676,81.032955,0,12,2.090909,3.56243
T02,55,48,7,0.2221487603,M,M_02_23,0,16785,73.463821,835.251431,0,84,1.363636,6.411942
T02,55,48,7,0.2221487603,M,M_02_24,0,1506,35.338028,154.133226,0,23,1.080645,3.161241
T02,55,48,7,0.2221487603,M,M_02_25,0,18016,132.858483,1100.802299,0,14,1.026316,1.966565
T02,55,48,7,0.2221487603,M,M_02_27,1,146,8.487805,22.657354,0,6,0.590909,1.317471
T02,55,48,7,0.2221487603,M,M_02_28,2,166,17.3,37.543957,0,7,3.5,4.041452
T02,55,48,7,0.2221487603,M,M_02_29,0,304,10.424116,25.434126,0,1,0.060606,0.240435
T02,55,48,7,0.2221487603,M,M_02_30,2,72,12,24.366253,1,1,1,0
T02,55,48,7,0.2221487603,M,M_02_31,0,234,6.202746,22.626415,0,1,0.037736,0.19238
T02,55,48,7,0.2221487603,M,M_02_32,0,114,13.72,29.752479,1,7,2.5,3
T02,55,48,7,0.2221487603,M,M_02_33,0,341,20.878713,40.901172,0,5,0.365385,0.929449
T02,55,48,7,0.2221487603,M,M_02_34,0,2535,37.466923,114.685288,0,14,1.293103,2.335561
T02,55,48,7,0.2221487603,M,M_02_35,1,33,6.636364,9.115896,0,1,0.142857,0.377964
T02,55,48,7,0.2221487603,M,M_02_36,0,16070,105.652549,1001.952953,0,22,3.289474,4.761367
T02,55,48,7,0.2221487603,M,M_02_37,0,237,21.460751,36.237903,0,8,1.5,1.817027
T02,55,48,7,0.2221487603,M,M_02_38,2,23,11,9.486833,0,0,0,0
T02,55,48,7,0.2221487603,M,M_02_39,5,22,15,5.925463,0,5,1.2,2.043961
T02,55,48,7,0.2221487603,M,M_02_40,2,61,5.55,12.998442,0,7,1.75,3.24037
T02,55,48,7,0.2221487603,M,M_02_41,0,1473,26.967378,70.607081,0,13,1.469388,2.403623
T02,55,48,7,0.2221487603,M,M_02_42,0,353,24.292683,48.110234,0,7,0.419355,1.310832
T02,55,48,7,0.2221487603,M,M_02_43,0,459,31.118959,58.138542,0,19,2.285714,5.536071
T02,55,48,7,0.2221487603,M,M_02_44,2,17,6.571429,5.940178,0,0,0,0
T02,55,48,7,0.2221487603,M,M_02_45,2,18,7.75,4.725816,0,1,0.5,0.57735
T02,55,48,7,0.2221487603,M,M_02_46,2,35,8.714286,11.893299,0,0,0,0
T02,55,48,7,0.2221487603,M,M_02_47,1,32,9.652174,8.962592,0,0,0,0
T02,55,48,7,0.2221487603,M,M_02_48,0,327,30.648045,55.315176,0,13,1.625,4.596194
T02,55,48,7,0.2221487603,M,M_02_49,1,4,2.285714,1.253566,0,0,0,0
T02,55,48,7,0.2221487603,M,M_02_50,0,3862,41.714704,165.315879,0,13,1.365591,2.276958
T02,55,48,7,0.2221487603,M,M_02_51,1,816,56.090909,153.377636,0,13,6.4,4.351245
T02,55,48,7,0.2221487603,M,M_02_52,1,114,28.066667,34.077947,0,5,0.294118,1.212678
T02,55,48,7,0.2221487603,M,M_02_53,0,29142,44.815371,459.671726,0,41,1.795745,3.414628
T02,55,48,7,0.2221487603,M,M_02_54,0,283,16.620491,35.227598,0,12,1.611111,2.41813
T02,55,48,7,0.2221487603,M,M_02_55,0,306,23.710744,52.708301,0,11,2,3.429972
T02,55,48,7,0.2221487603,W,W_02_03,1,286,11.905797,28.926462,0,3,0.55,0.932325
T02,55,48,7,0.2221487603,W,W_02_15,0,42610,48.061365,756.367684,0,69,1.375,5.887271
T02,55,48,7,0.2221487603,W,W_02_26,1,808,29.037736,109.959986,0,5,1.4,1.95505
T03,4,3,1,0.375,M,M_03_01,2,143,20.4375,36.627801,1,7,3.333333,3.21455
T03,4,3,1,0.375,M,M_03_03,0,51,37.142857,18.28869,24,24,24,NaN
T03,4,3,1,0.375,M,M_03_04,2,35,8.714286,12.378938,0,0,0,0
T03,4,3,1,0.375,W,W_03_02,5,21,10.4,6.503845,0,14,8.666667,7.571878
T04,9,8,1,0.1975308642,M,M_04_01,2,130,34.333333,50.613209,0,1,0.166667,0.408248
T04,9,8,1,0.1975308642,M,M_04_02,0,228,11.401163,22.939702,0,21,3,7.348469
T04,9,8,1,0.1975308642,M,M_04_03,1,9,3,2.828427,2,2,2,NaN
T04,9,8,1,0.1975308642,M,M_04_04,1,283,15.6,51.187989,0,13,1.444444,3.868762
T04,9,8,1,0.1975308642,M,M_04_05,1,10,4.142857,3.347953,0,0,0,0
T04,9,8,1,0.1975308642,M,M_04_06,1,16,4.1,4.411707,0,6,2.333333,3.21455
T04,9,8,1,0.1975308642,M,M_04_08,0,443,21.322251,42.541545,0,64,2.173077,9.24762
T04,9,8,1,0.1975308642,M,M_04_09,12,28,18.5,6.806859,0,0,0,0
T04,9,8,1,0.1975308642,W,W_04_07,0,78,18.285714,24.413404,5,5,5,NaN
T05,4,4,0,0,M,M_05_01,0,228,11.401163,22.939702,0,21,3,7.348469
T05,4,4,0,0,M,M_05_02,1,283,15.6,51.187989,0,13,1.444444,3.868762
T05,4,4,0,0,M,M_05_03,1,16,4.1,4.411707,0,6,2.333333,3.21455
T05,4,4,0,0,M,M_05_04,1,114,26.647059,32.690208,0,5,1,2.236068
T06,13,10,4,0.3136094675,M,M_06_02,0,503,23.284,55.536871,0,13,2.434783,3.290742
T06,13,10,4,0.3136094675,M,M_06_04,0,591,32.890411,76.511899,0,22,2.9375,5.56739
T06,13,10,4,0.3136094675,M,M_06_05,13,13,13,NaN,2,2,2,NaN
T06,13,10,4,0.3136094675,M,M_06_06,1,34,4.321739,6.197832,0,25,6.071429,8.416689
T06,13,10,4,0.3136094675,M,M_06_07,1,5098,121.327273,688.983391,0,15,5.444444,5.226879
T06,13,10,4,0.3136094675,M,M_06_08,0,216,20.465753,33.10655,0,13,1.7,3.341919
T06,13,10,4,0.3136094675,M,M_06_09,1,120,25.233333,31.103479,1,6,2.5,2.380476
T06,13,10,4,0.3136094675,M,M_06_11,1,267,37.075,58.920802,0,9,3.571429,3.779645
T06,13,10,4,0.3136094675,M,M_06_13,1,143,20.454545,28.720736,0,20,7,6.683313
T06,13,10,4,0.3136094675,M,M_06_14,0,121,17.645833,25.327211,0,3,0.466667,1.060099
T06,13,10,4,0.3136094675,W,W_06_01,0,484,30.742857,71.164575,0,8,3.5,3.271085
T06,13,10,4,0.3136094675,W,W_06_03,0,2867,83.803571,382.942835,0,4,0.666667,1.154701
T06,13,10,4,0.3136094675,W,W_06_10,1,40,13.4,15.630099,0,7,3.5,4.949747
T06,13,10,4,0.3136094675,W,W_06_12,0,895,36.025316,80.139229,0,32,3.095238,5.427165
T07,3,2,1,0.4444444444,M,M_07_01,41,41,41,0,0,0,0,NaN
T07,3,2,1,0.4444444444,W,W_07_02,0,1870,22.245763,78.561459,0,15,2.482759,3.056436
T07,3,2,1,0.4444444444,W,W_07_03,0,428,23.173077,38.693402,0,18,2.642857,3.900103
T08,44,37,7,0.2675619835,M,M_08_01,1,1511,191.444444,496.555916,0,7,3.666667,3.511885
T08,44,37,7,0.2675619835,M,M_08_02,4,12,6.857143,3.625308,1,7,3,3.464102
T08,44,37,7,0.2675619835,M,M_08_03,3,3,3,NaN,0,0,0,NaN
